label,thermal,pressure,fill,chemistry,tooling,image
1,-0.4334728308022022,-0.01599264144897461,2.611793041229248,-0.5857477188110352,0.16539447009563446,0.1081764311529696
1,-0.3969937898218632,-0.0009794309735298157,1.4274306744337082,-0.6651825191220269,0.2739964723587036,-0.15882890694774687
1,-0.31706223264336586,0.018396973609924316,-0.005228251218795776,-0.7720240440685302,0.29358580708503723,2.603390749776736
1,-0.32237769663333893,-0.0816691517829895,2.1039768159389496,-0.5675075678154826,0.3577849566936493,0.5091200928436592
1,-0.3592202179133892,0.0686938688158989,2.608258068561554,-0.5977301578968763,0.3559408187866211,1.7677826161962003
1,-0.25900873914361,-0.07344567961990833,1.6432825773954391,-0.813166297506541,0.1630007028579712,0.20728227775543928
1,-0.4482293054461479,-0.10910420306026936,1.821176677942276,-0.6197693236172199,0.17957456409931183,-0.2952637276612222
1,-0.48255287669599056,-0.03345605172216892,2.61785426735878,-0.6442691367119551,0.09569694846868515,0.9894720339216292
1,-0.48622703552246094,-0.03672803705558181,0.3138763755559921,-0.7649822579696774,0.2787627875804901,0.8939107010373846
1,-0.2629543961957097,-0.01994897611439228,-1.033900797367096,-0.8609434040263295,0.2351941615343094,1.7021119928103872
1,-0.32061606645584106,0.06207384495064616,2.4398417212069035,-0.5540677482495084,0.23942451179027557,1.0612373756302986
1,-0.11131913959980011,0.1580884363502264,1.1441190242767334,-0.5517435809597373,0.1905544251203537,1.3247711067087948
1,-0.2121566366404295,-0.05525564542040229,2.0555877089500427,-0.5751313604414463,0.3852286636829376,0.2823281339369714
1,-0.21630509197711945,0.18228888511657715,0.025018811225891113,-0.7295495299622416,0.316923588514328,2.5958665718790144
1,-0.4768938682973385,-0.07501950487494469,-0.9010675400495529,-0.7656017737463117,0.24366609752178192,3.1607465211600356
1,-0.15932489931583405,-0.04505539312958717,2.8305486291646957,-0.5760656694183126,0.1459871083498001,-0.5505683881347068
1,0.06647923914715648,-0.07356330566108227,2.8756780326366425,-0.5063503559213132,0.052228767424821854,-0.4098970983613981
1,-0.4024917669594288,-0.09185881540179253,-0.9661663472652435,-0.7533002384006977,0.17755846679210663,5.525066060945392
1,-0.34254079312086105,-0.0633626077324152,1.8982863426208496,-0.6453527316916734,0.2027045488357544,1.886268500238657
1,-0.33283547312021255,-0.08522836491465569,0.7583683431148529,-0.7057658117264509,0.2241542488336563,-0.5821846316102892
