seed,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
42,vision,lab,xgboost,0.01,0.11328671328671329,0.8940397350993378,0.8625954198473282,0.9963601435721147,0.9978360078606343,0.0219302182893208,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
42,process,lab,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,fusion,lab,xgboost,0.049999999999999996,0.0993006993006993,0.8940397350993378,0.8931297709923665,0.9950457509731561,0.9959313971193046,0.01773062867722311,0.9889624724061811,0.9572649572649573,0.9728555917480999,0.011037527593818985,0.07633587786259542,242,20,5,448
42,vision,inline,xgboost,0.045,0.05874125874125874,0.9006622516556292,0.9198473282442748,0.9847243988338978,0.9914039579809617,0.041997125736587856,0.9911699779249448,0.8439849624060151,0.9116751269035533,0.008830022075055188,0.31679389312977096,179,83,4,449
42,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,fusion,inline,xgboost,0.045,0.07972027972027972,0.8874172185430463,0.9427480916030534,0.9940768077111032,0.9967809790803797,0.02927109461141219,0.9955849889624724,0.8860510805500982,0.9376299376299376,0.004415011037527594,0.22137404580152673,204,58,2,451
7,vision,lab,xgboost,0.01,0.11328671328671329,0.8940397350993378,0.8625954198473282,0.9963601435721147,0.9978360078606343,0.0219302182893208,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
7,process,lab,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,fusion,lab,xgboost,0.015,0.12867132867132866,0.9094922737306843,0.7938931297709924,0.9959852046576682,0.9977163986278279,0.02368667577667545,0.9977924944812362,0.8512241054613936,0.9186991869918699,0.002207505518763797,0.3015267175572519,183,79,1,452
7,vision,inline,xgboost,0.045,0.05874125874125874,0.9006622516556292,0.9198473282442748,0.9847243988338978,0.9914039579809617,0.041997125736587856,0.9911699779249448,0.8439849624060151,0.9116751269035533,0.008830022075055188,0.31679389312977096,179,83,4,449
7,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,fusion,inline,xgboost,0.045,0.08811188811188811,0.9183222958057395,0.8473282442748091,0.9876438670104308,0.9930450730050665,0.039305384944065005,0.9977924944812362,0.8014184397163121,0.8888888888888888,0.002207505518763797,0.42748091603053434,150,112,1,452
99,vision,lab,xgboost,0.01,0.11328671328671329,0.8940397350993378,0.8625954198473282,0.9963601435721147,0.9978360078606343,0.0219302182893208,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
99,process,lab,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,fusion,lab,xgboost,0.034999999999999996,0.193006993006993,0.7505518763796909,0.9007633587786259,0.9966845289250628,0.9980623336313876,0.024871335740872826,0.9977924944812362,0.9475890985324947,0.9720430107526882,0.002207505518763797,0.09541984732824428,237,25,1,452
99,vision,inline,xgboost,0.045,0.05874125874125874,0.9006622516556292,0.9198473282442748,0.9847243988338978,0.9914039579809617,0.041997125736587856,0.9911699779249448,0.8439849624060151,0.9116751269035533,0.008830022075055188,0.31679389312977096,179,83,4,449
99,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
