seed,severity,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
42,0.5,vision,inline,xgboost,0.015,0.08251748251748252,0.9249448123620309,0.9007633587786259,0.9994439108235174,0.9996913508517286,0.007657451298758369,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
42,0.5,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,0.5,fusion,inline,xgboost,0.02,0.08951048951048951,0.9072847682119205,0.9122137404580153,0.9992248453903577,0.9995842555256618,0.005503072763688093,0.9977924944812362,0.9243353783231084,0.9596602972399151,0.002207505518763797,0.14122137404580154,225,37,1,452
42,1.0,vision,inline,xgboost,0.01,0.0937062937062937,0.9094922737306843,0.8854961832061069,0.9965539322245252,0.998252450059684,0.015715056670048064,0.9977924944812362,0.7985865724381626,0.887144259077527,0.002207505518763797,0.4351145038167939,148,114,1,452
42,1.0,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,1.0,fusion,inline,xgboost,0.02,0.1076923076923077,0.8830022075055187,0.8931297709923665,0.9973964915828321,0.9986958725716302,0.011861620163764242,0.9977924944812362,0.8709055876685935,0.9300411522633745,0.002207505518763797,0.25572519083969464,195,67,1,452
42,1.5,vision,inline,xgboost,0.04,0.07692307692307693,0.9205298013245033,0.9045801526717557,0.9943969802672598,0.9969946462092695,0.026303300487100858,0.9977924944812362,0.8293577981651377,0.905811623246493,0.002207505518763797,0.3549618320610687,169,93,1,452
42,1.5,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,1.5,fusion,inline,xgboost,0.049999999999999996,0.07692307692307693,0.9006622516556292,0.9427480916030534,0.9966044857860237,0.9983399122632809,0.01816039980979883,0.9977924944812362,0.9168356997971603,0.9556025369978859,0.002207505518763797,0.15648854961832062,221,41,1,452
42,2.0,vision,inline,xgboost,0.034999999999999996,0.03776223776223776,0.9050772626931567,0.8664122137404581,0.9705651888175522,0.9820640460910515,0.06209383082023263,0.9955849889624724,0.7381342062193126,0.8477443609022557,0.004415011037527594,0.6106870229007634,102,160,2,451
42,2.0,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,2.0,fusion,inline,xgboost,0.015,0.06573426573426573,0.8675496688741722,0.9312977099236641,0.987108841817906,0.9928875021528819,0.044672516331424085,0.9977924944812362,0.7766323024054983,0.8734299516908213,0.002207505518763797,0.4961832061068702,132,130,1,452
42,3.0,vision,inline,xgboost,0.055,0.12027972027972028,0.8852097130242825,0.8702290076335878,0.915668233827073,0.9498130498887165,0.1141608803319946,1.0,0.6527377521613833,0.7898866608544028,0.0,0.9198473282442748,21,241,0,453
42,3.0,process,inline,xgboost,0.005,0.26713286713286716,0.891832229580574,0.9770992366412213,0.9266257182818528,0.9559079923344149,0.12451777048971371,1.0,0.6362359550561798,0.7776824034334764,0.0,0.9885496183206107,3,259,0,453
42,3.0,fusion,inline,xgboost,0.034999999999999996,0.044755244755244755,0.8984547461368654,0.950381679389313,0.9688379421330233,0.982324439047082,0.07258802046845896,0.9977924944812362,0.7220447284345048,0.8378127896200185,0.002207505518763797,0.6641221374045801,88,174,1,452
7,0.5,vision,inline,xgboost,0.015,0.08251748251748252,0.9249448123620309,0.9007633587786259,0.9994439108235174,0.9996913508517286,0.007657451298758369,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
7,0.5,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,0.5,fusion,inline,xgboost,0.015,0.08251748251748252,0.9426048565121413,0.8740458015267175,0.9997514449892995,0.999853604291889,0.0062466255242860065,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
